log_prob_true,time_log_prob,loss,log_prob,val_log_prob_true,val_time_log_prob,val_loss,val_log_prob,epoch,step,time_sample_obs,mmd_obs,log_prob_p,kl_distance,val_time_sample_obs,val_mmd_obs,val_log_prob_p,val_kl_distance,log_px_z,kl_z,elbo,objective,time_forward
-13.53038215637207,7.609082221984863,19.138717651367188,-19.138717651367188,-13.530383110046387,8.212366104125977,19.138717651367188,-19.138717651367188,94,1899,,,,,,,,,,,,,
-13.53038215637207,7.811069488525391,17.826366424560547,-17.826366424560547,-13.530383110046387,8.688575744628906,17.826366424560547,-17.826366424560547,95,1919,,,,,,,,,,,,,
-13.53038215637207,7.5336456298828125,19.025175094604492,-19.025175094604492,-13.530383110046387,8.219038963317871,19.025175094604492,-19.025175094604492,96,1939,,,,,,,,,,,,,
,,29.74730110168457,,,,,,97,1949,,,,,,,,,-20.54185676574707,9.205445289611816,-29.74730110168457,-29.74730110168457,8.581206321716309
-13.53038215637207,7.349586486816406,18.083290100097656,-18.083290100097656,-13.530383110046387,7.987242221832275,18.083288192749023,-18.083288192749023,97,1959,,,,,,,,,,,,,
-13.53038215637207,7.565212726593018,18.660579681396484,-18.660579681396484,-13.530383110046387,8.110763549804688,18.66057777404785,-18.66057777404785,98,1979,,,,,,,,,,,,,
,,28.763078689575195,,,,,,99,1999,,,,,,,,,-19.50933265686035,9.253746032714844,-28.763078689575195,-28.763078689575195,12.825955390930176
-13.53038215637207,7.500267028808594,18.6193790435791,-18.6193790435791,-13.530383110046387,8.117035865783691,18.6193790435791,-18.6193790435791,99,1999,,,,,,,,,,,,,
-13.53038215637207,7.691288471221924,17.698486328125,-17.698486328125,-13.530383110046387,8.205113410949707,17.698488235473633,-17.698488235473633,100,2019,,,,,,,,,,,,,
-13.53038215637207,7.390499114990234,19.32413673400879,-19.32413673400879,-13.530383110046387,7.934206485748291,19.324142456054688,-19.324142456054688,101,2039,141.02505493164062,0.02005946636199951,-12.366708755493164,-1.125872015953064,141.02505493164062,0.02005946636199951,-12.366708755493164,-1.125872015953064,,,,,
,,28.18462562561035,,,,,,102,2049,,,,,,,,,-18.696720123291016,9.487902641296387,-28.18462562561035,-28.18462562561035,9.405194282531738
-13.53038215637207,7.649517059326172,18.073169708251953,-18.073169708251953,-13.530383110046387,8.265995979309082,18.07316780090332,-18.07316780090332,102,2059,,,,,,,,,,,,,
-13.53038215637207,7.440281391143799,19.563650131225586,-19.563650131225586,-13.530383110046387,7.933271884918213,19.563650131225586,-19.563650131225586,103,2079,,,,,,,,,,,,,
,,30.025747299194336,,,,,,104,2099,,,,,,,,,-20.223526000976562,9.802226066589355,-30.025747299194336,-30.025747299194336,13.430329322814941
-13.53038215637207,7.5208659172058105,18.444005966186523,-18.444005966186523,-13.530383110046387,8.1705322265625,18.44400405883789,-18.44400405883789,104,2099,,,,,,,,,,,,,
-13.53038215637207,7.474040985107422,18.224651336669922,-18.224651336669922,-13.530383110046387,8.02625560760498,18.224653244018555,-18.224653244018555,105,2119,,,,,,,,,,,,,
-13.53038215637207,7.619476795196533,18.809858322143555,-18.809858322143555,-13.530383110046387,8.152762413024902,18.809856414794922,-18.809856414794922,106,2139,,,,,,,,,,,,,
,,31.239627838134766,,,,,,107,2149,,,,,,,,,-21.861082077026367,9.378547668457031,-31.239627838134766,-31.239627838134766,8.638016700744629
-13.53038215637207,7.353115081787109,20.03594207763672,-20.03594207763672,-13.530383110046387,7.8877739906311035,20.03594207763672,-20.03594207763672,107,2159,,,,,,,,,,,,,
-13.53038215637207,7.442283630371094,18.921751022338867,-18.921751022338867,-13.530383110046387,8.130250930786133,18.921749114990234,-18.921749114990234,108,2179,,,,,,,,,,,,,
,,28.59356117248535,,,,,,109,2199,,,,,,,,,-19.402074813842773,9.191485404968262,-28.59356117248535,-28.59356117248535,12.656783103942871
